item,value
final_selected_model,innovation_v3_clinical_consensus
role_of_traditional_model,conservative_baseline_for_comparison
selected_k,2
n_samples,364
cluster_sizes,153;211
full_feature_silhouette,0.0529868784080805
consensus_stability,0.8906119970733986
cluster_balance,0.7251184834123223
os_logrank_p,0.0006275479371136
pfi_logrank_p,0.0136634642001929
dss_logrank_p,0.0008992746515564
seed_sensitivity_runs,5
seed_label_agreement_min,0.9917582417582418
seed_label_agreement_mean,0.9956043956043956
seed_os_p_max,0.0009442358378086
seed_pfi_p_max,0.0183019523002999
seed_core_win_rate,0.8
