experiment_name,modality_set,k,silhouette,stability_score,logrank_os_p,logrank_pfi_p,cluster_balance_score,notes,os_sep,pfi_sep,overall_score,overall_rank
weight_full,main5,3,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,1
weight_only_Q,main5,6,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,2
weight_only_Q,main5,3,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,3
weight_no_M,main5,4,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,4
weight_no_S,main5,4,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,5
proposed_weighted_fusion_full,main5,3,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,method_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,6
weight_no_C,main5,5,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,7
proposed_weighted_fusion_full,main5,5,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,method_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,8
weight_full,main5,5,-0.0506279442453653,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,weight_component_ablation,1.7942830830267396,11.853273657694622,1.4398339311377089,9
drop_rna,main5_minus_rna,6,-0.07017100145154025,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,modality_ablation,1.7942830830267396,11.853273657694622,1.4339710139758564,10
drop_rna,main5_minus_rna,3,-0.07017100145154025,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,modality_ablation,1.7942830830267396,11.853273657694622,1.4339710139758564,11
drop_methylation,main5_minus_methylation,3,-0.08775621765295334,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,modality_ablation,1.7942830830267396,11.853273657694622,1.4286954491154324,12
drop_methylation,main5_minus_methylation,6,-0.08775621765295334,,0.016058941534330195,1.4019300418466383e-12,0.0027624309392265192,modality_ablation,1.7942830830267396,11.853273657694622,1.4286954491154324,13
drop_mirna,main5_minus_mirna,5,-0.03458630526857508,,0.022193790976666194,1.8729292900940507e-12,0.0027624309392265192,modality_ablation,1.6537685085103855,11.727478618514592,1.4109897327352898,14
