method,k,n_samples,cluster_sizes,full_feature_silhouette,method_space_silhouette,calinski_harabasz_full,davies_bouldin_full,stability_nmi,stability_ari,consensus_stability,cluster_balance,os_logrank_p,pfi_logrank_p,dss_logrank_p,dfi_logrank_p,clinical_score_os_pfi,notes,n_boundary_samples_from_latent,boundary_samples_from_latent,beats_baseline_core,core_gain_score,mask_key
innovation_v3_candidate,2,364,154;210,0.05321582043456296,0.1378795804367896,23.1957188318895,3.7841991380517346,0.849114487776801,0.9043170533791091,0.876715770577955,0.7333333333333333,0.0005391857323515448,0.011907615385751908,0.0008025763664718545,0.22120142607991686,2.596218404919842,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-HU-8249-01,False,0.6160529738869198,101010
innovation_v3_candidate,2,364,155;209,0.053290848091653104,0.1378801702220997,23.202846754601072,3.7873838579535595,0.8541201014470678,0.9058038341896302,0.879961967818349,0.7416267942583732,0.0008410166599223436,0.009956860372346665,0.0008025763664718545,0.22120142607991686,2.538536492058066,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-8249-01,False,0.611228762968292,111010
innovation_v3_candidate,2,364,153;211,0.052986878408080536,0.13794072933430043,23.193523723317263,3.779600239643005,0.8655086398962649,0.9157153542505321,0.8906119970733986,0.7251184834123223,0.000627547937113643,0.013663464200192953,0.0008992746515564702,0.2356378718098793,2.533396135236698,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01,True,0.6102426570229045,101110
innovation_v3_candidate,2,364,153;211,0.053059414894227344,0.1378047359696687,23.20552550557209,3.778704338259513,0.8550313127373563,0.9095042321722961,0.8822677724548262,0.7251184834123223,0.0006309467138013252,0.013801006923491491,0.0009051867421769477,0.22120142607991686,2.5300482717608763,candidate_boundary_refinement,2,TCGA-BR-8682-01;TCGA-HU-8249-01,False,0.6081757947937458,100010
innovation_v3_candidate,2,364,154;210,0.053054808752604675,0.13792202929360592,23.1981713939642,3.7831186369550314,0.8702814472760865,0.9172111801870174,0.893746313731552,0.7333333333333333,0.000974691443081214,0.011457975288177765,0.0008992746515564702,0.2356378718098793,2.4760124826896615,candidate_boundary_refinement,5,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01,True,0.6054152392282925,111110
innovation_v3_candidate,2,364,154;210,0.053124905035733375,0.13778661065627698,23.209672368316596,3.782258164989803,0.8592154283465953,0.9109654492644094,0.8850904388055023,0.7333333333333333,0.0009798205322129367,0.011575866525407697,0.0009051867421769477,0.22120142607991686,2.472649976784169,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-HU-8249-01,False,0.6032840286835164,110010
innovation_v3_candidate,2,364,152;212,0.0528232413419759,0.13785733380240733,23.202066470788942,3.774046279689994,0.8726397575191298,0.9209350226375498,0.8967873900783399,0.7169811320754716,0.0007330178544141553,0.015797701120298258,0.0010130419225908248,0.2356378718098793,2.468145776937403,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-D7-6822-01;TCGA-HU-8249-01,True,0.6026067338167389,100110
innovation_v3_candidate,2,364,153;211,0.05307232185021365,0.13779106403299549,23.182093101107025,3.7810624533189583,0.8484442133598402,0.905090096489797,0.8767671549248186,0.7251184834123223,0.0007280848054409344,0.015497936709265367,0.0010326369379479602,0.2474150389768047,2.4737720746288536,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.6005102659974986,101011
innovation_v3_candidate,2,364,153;211,0.052881662398170125,0.1378198973830461,23.203725653324444,3.7779344061715463,0.8765604903299052,0.9224052351364345,0.8994828627331699,0.7251184834123223,0.001133508120180008,0.013288443469971878,0.0010130419225908248,0.2356378718098793,2.411050625560823,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-8249-01,True,0.5977094363245787,110110
innovation_v3_candidate,2,364,153;211,0.05326341492322869,0.1379227592474908,23.19631602030173,3.7804924935715305,0.8450357739480238,0.9024605874184793,0.8737481806832516,0.7251184834123223,0.0008105269894343995,0.015869225305837786,0.0011189608198512036,0.2526178655660075,2.4453383965081716,candidate_boundary_refinement,2,TCGA-D7-5578-01;TCGA-HU-8249-01,False,0.596638220923484,001010
