model,feature,importance,rank
RandomForest,methylation::cg12081932,0.027506857699932195,1
RandomForest,methylation::cg00109503,0.021667290471825293,2
RandomForest,methylation::cg13334650,0.01910180031113234,3
RandomForest,methylation::cg23045719,0.019055778591900357,4
RandomForest,methylation::cg05293775,0.018356466631634823,5
RandomForest,methylation::cg23187159,0.012431669165827716,6
RandomForest,methylation::cg05218346,0.011521273811740703,7
RandomForest,methylation::cg20312821,0.011336772559577503,8
RandomForest,methylation::cg17309441,0.010036261617448906,9
RandomForest,methylation::cg19972696,0.010004895210371692,10
RandomForest,methylation::cg21309100,0.009888572630523729,11
RandomForest,methylation::cg25932164,0.009818226640401235,12
RandomForest,methylation::cg17408973,0.009795095780899873,13
RandomForest,methylation::cg10482596,0.009597657658369558,14
RandomForest,methylation::cg18324126,0.009591480078519099,15
RandomForest,methylation::cg07129253,0.009432259902122231,16
RandomForest,methylation::cg00767642,0.00883214154005846,17
RandomForest,methylation::cg02035060,0.00864069708869552,18
RandomForest,methylation::cg12146386,0.008307011132692797,19
RandomForest,methylation::cg05209770,0.008271898282641599,20
RandomForest,methylation::cg08232905,0.008048324677059161,21
RandomForest,methylation::cg02230854,0.007973878970030684,22
RandomForest,methylation::cg13632230,0.007889430975968711,23
RandomForest,methylation::cg21640587,0.007793762504514214,24
RandomForest,methylation::cg05746795,0.007608958110843628,25
RandomForest,methylation::cg27547954,0.0075373864669748955,26
RandomForest,methylation::cg09588271,0.007523393170204017,27
RandomForest,methylation::cg20656261,0.007355275533904117,28
RandomForest,methylation::cg16585306,0.0072583647421973355,29
RandomForest,methylation::cg19025435,0.007163811905350824,30
RandomForest,methylation::cg05775895,0.0071630887816504785,31
RandomForest,methylation::cg17834155,0.007088636915036217,32
RandomForest,methylation::cg20401551,0.006953858940236835,33
RandomForest,methylation::cg09131629,0.006922750149166393,34
RandomForest,methylation::cg16964389,0.0068015023146460124,35
RandomForest,methylation::cg15344220,0.006724696721388893,36
RandomForest,methylation::cg18672986,0.006627927142506393,37
RandomForest,methylation::cg08078694,0.0063911672588026726,38
RandomForest,methylation::cg24474130,0.005477486443644044,39
RandomForest,methylation::cg02759110,0.005474445533461979,40
RandomForest,methylation::cg13541429,0.005335676457139592,41
RandomForest,methylation::cg05372730,0.005323276142034949,42
RandomForest,methylation::cg15460964,0.005272651140410607,43
RandomForest,methylation::cg23168483,0.005259537135782722,44
RandomForest,methylation::cg00639886,0.005162995301660393,45
RandomForest,methylation::cg10529387,0.005089761258622233,46
RandomForest,methylation::cg01018701,0.005021461833316978,47
RandomForest,methylation::cg07173275,0.005007720774459717,48
RandomForest,methylation::cg07923233,0.004947309603139825,49
RandomForest,methylation::cg22273427,0.0048156654492825975,50
RandomForest,methylation::cg15648026,0.004785483853849626,51
RandomForest,methylation::cg20272619,0.004780588956438051,52
RandomForest,methylation::cg14235416,0.004759219061335976,53
RandomForest,methylation::cg11352190,0.004692150368730988,54
RandomForest,methylation::cg10537220,0.004667086017731338,55
RandomForest,methylation::cg00901264,0.004666298667903834,56
RandomForest,methylation::cg10884288,0.004663116619735786,57
RandomForest,methylation::cg12379948,0.004637173424830391,58
RandomForest,methylation::cg16295145,0.004549866450437986,59
RandomForest,methylation::cg26281453,0.004526595363641359,60
RandomForest,methylation::cg15478390,0.004469592656323855,61
RandomForest,methylation::cg05071623,0.0044387454781071815,62
RandomForest,methylation::cg27193031,0.004373484264990645,63
RandomForest,methylation::cg07370646,0.004273712585159833,64
RandomForest,methylation::cg02224864,0.0042591829633570315,65
RandomForest,methylation::cg23118086,0.004219683331072154,66
RandomForest,methylation::cg03781505,0.00414229838965372,67
RandomForest,methylation::cg26881713,0.00406552993149165,68
RandomForest,methylation::cg13673164,0.0039270575146143445,69
RandomForest,methylation::cg18411500,0.003912943707565243,70
RandomForest,methylation::cg15727308,0.003841730264661221,71
RandomForest,methylation::cg05052633,0.003826017270054277,72
RandomForest,methylation::cg17133183,0.0037644086155405316,73
RandomForest,methylation::cg01969910,0.003629567077947246,74
RandomForest,methylation::cg02282120,0.0036221120848029856,75
RandomForest,methylation::cg04395689,0.0035517790942233957,76
RandomForest,methylation::cg14208112,0.003522341526595152,77
RandomForest,methylation::cg23969342,0.0034976384647916955,78
RandomForest,methylation::cg00353773,0.003401317251481843,79
RandomForest,methylation::cg08576864,0.0033918163113801705,80
RandomForest,methylation::cg18254147,0.003357995517652859,81
RandomForest,methylation::cg03527422,0.00334745043800112,82
RandomForest,methylation::cg06547386,0.003332961412438905,83
RandomForest,methylation::cg07408114,0.0032532407200778755,84
RandomForest,methylation::cg09405790,0.0032022227952935764,85
RandomForest,methylation::cg04876835,0.003160996771438276,86
RandomForest,methylation::cg17186025,0.003097795434962126,87
RandomForest,methylation::cg11826826,0.003096862547177186,88
RandomForest,methylation::cg26583481,0.0030821403208043637,89
RandomForest,methylation::cg11444704,0.0030546087898305346,90
RandomForest,methylation::cg18357048,0.0030505816988038313,91
RandomForest,methylation::cg00906644,0.0030154036669032447,92
RandomForest,methylation::cg25688113,0.0029641460081959703,93
RandomForest,methylation::cg15454726,0.0029461730622544545,94
RandomForest,methylation::cg19584875,0.00293753927855268,95
RandomForest,methylation::cg14861020,0.002909897974474381,96
RandomForest,methylation::cg14843800,0.0028926926286948927,97
RandomForest,methylation::cg04099652,0.0028865845590366752,98
RandomForest,methylation::cg24497186,0.00288387651809891,99
RandomForest,methylation::cg26916166,0.0028705031596135207,100
RandomForest,methylation::cg07994622,0.002862587200594151,101
RandomForest,methylation::cg13876462,0.0028559761487736497,102
RandomForest,methylation::cg10086212,0.0028308310957931735,103
RandomForest,methylation::cg20062650,0.0028258322890959337,104
RandomForest,methylation::cg24020814,0.002815345104558853,105
RandomForest,methylation::cg07104652,0.0027821053507438116,106
RandomForest,methylation::cg09848096,0.00274301301536201,107
RandomForest,methylation::cg17009433,0.002742061511697905,108
RandomForest,methylation::cg27085904,0.0027290250539371477,109
RandomForest,methylation::cg19157243,0.002699705091022302,110
RandomForest,methylation::cg14860120,0.0026845412122348056,111
RandomForest,methylation::cg08511440,0.0026782720679363026,112
RandomForest,methylation::cg03745431,0.002663307679450269,113
RandomForest,methylation::cg11361827,0.00265878911830333,114
RandomForest,methylation::cg06836772,0.0026571058245341635,115
RandomForest,methylation::cg10229294,0.002652398656337803,116
RandomForest,methylation::cg17445007,0.002621405586282704,117
RandomForest,methylation::cg24126187,0.002611192428371729,118
RandomForest,methylation::cg02043600,0.002602142986199195,119
RandomForest,methylation::cg25428398,0.0025846652156193027,120
RandomForest,methylation::cg09184429,0.002576130520872188,121
RandomForest,methylation::cg09935045,0.0025558552113553357,122
RandomForest,methylation::cg06577045,0.00254446301583239,123
RandomForest,methylation::cg21107549,0.002538620247625138,124
RandomForest,methylation::cg12223582,0.0025330590164312564,125
RandomForest,methylation::cg13564825,0.0025209630274269576,126
RandomForest,methylation::cg20761860,0.002509516178721581,127
RandomForest,methylation::cg06994813,0.002504415782943783,128
RandomForest,methylation::cg08718398,0.0024919852715898196,129
RandomForest,methylation::cg17330305,0.002469135482100923,130
RandomForest,methylation::cg12376068,0.002463546954024233,131
RandomForest,methylation::cg14018731,0.002458872429264868,132
